title,brand,price,description,rating,image,feature
REI Co-op Sahara Shade Hoodie - Men's,REI Co-op,$34.93,"Move like you're in a T-shirt but fully protected from the sun. Built for the trail, the men's REI Co-op Sahara Shade Hoodie has a tech-tee-like knit that wicks moisture and provides shade.",4.7,https://www.rei.com/media/61f24827-3620-4fa8-831f-4d751252ff51?size=576x768,"['UPF 50+ fabric shields against harmful UV rays', 'Supersoft stretch knit wicks away moisture and dries quickly to withstand multiple days on the trail', 'Antimicrobial treatment inhibits growth of odor-causing bacteria on the fabric', '3-panel hood has an internal drawstring to seal out the elements and a crossover-style opening for sun coverage at the neck', 'Dropped shoulders provide extra mobility and unrestricted movement', 'Thumbholes hold sleeves in place']"
prAna Stretch Zion Slim Pants II - Men's,prAna,$95.00,"From the climbing crag to the conference room, the prAna Stretch Zion Slim Pants II go anywhere with their modern look, hardworking details and updated, recycled construction.",4.6,https://www.rei.com/media/18552a3b-fa8f-4a95-a9ab-8dea385123c5?size=576x768,"[""Now made with recycled nylon, ReZion™ fabric is tested to ensure it stacks up against the original; it's lighter to promote breathability and performance"", 'ReZion performance fabric resists abrasion and wrinkles while providing UPF 50+ sun protection; fabric has a subtle sheen, which helps to achieve maximum durability', 'PFAS-free durable water repellent (DWR) finish sheds moisture and stains', 'Fabric is bluesign® approved', 'Roll-up leg snaps, webbing adjustable pockets and a ventilated inseam gusset are ready for bouldering, scrambling and more', 'Mesh-lined pockets; zippered dual-entry cargo pocket on right thigh; concealed zipper coin pocket with an elastic key loop; back patch pockets with a flap on the right', 'Slim fit through the hips and thighs', 'This style fits the same as the original Stretch Zion Straight Pants at the waist, but with an updated fit through the leg, giving it a tapered look and feel', 'New low-profile plastic closure lays flat for added comfort and compatibility when wearing a climbing harness or backpack with hipbelt', 'Plus, the webbing on the button is now anchored with 4 bar tacks, distributing tension across the waistband for added strength and durability']"
Patagonia Torrentshell 3L Jacket - Women's,Patagonia,$149.00,"The 3-layer construction of the women's Patagonia Torrentshell 3L jacket has a new backer, making it more durable than its 2.5-layer predecessor, so you can stay dry in less-than-ideal conditions.",4.5,https://www.rei.com/media/cfb5e22b-7877-41c3-a534-b99b32cfb60c?size=576x768,"['3-layer H2No® Performance Standard waterproof/breathable polyester with durable water repellent (DWR) coating sheds rain and snow', 'Face fabric is constructed from postconsumer recycled materials (think: water bottles and salad bins)', '2-way-adjustable hood with a laminated visor rolls down and stows with a simplified cord-and-hook design', 'Microfleece-lined neck provides comfort and protects with a waterproof/breathable barrier', 'Snag-free center-front zipper with external and internal storm flaps and zipper-garage chin guard', '2 zippered handwarmer pockets and venting pit zips; all with welted exterior storm flaps and DWR (durable water repellent)-treated zippers', 'Self-fabric hook-and-loop cuff closures and adjustable drawcord hem seal out precipitation', 'Jacket self-stuffs into left handwarmer pocket with carabiner clip-in loop', 'Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods', 'bluesign®\xa0approved product means the company took deliberate steps to reduce negative impacts on the health of the environment, workers and wearer']"
Patagonia R2 TechFace Jacket - Men's,Patagonia,$179.00,The men's Patagonia R2 TechFace jacket provides warmth and breathability as well as weather resistance for extended versatility in shifting mountain conditions.,4.8,https://www.rei.com/media/cebe810d-282b-4810-bac0-faa371472284?size=576x768,"['High-loft, double-weave fabric is soft and warm next to skin but also highly breathable', 'Abrasion-resistant face fabric has a durable water repellent (DWR) that provides the first layer of defense against moisture', 'Soft, kissing-welt zipper garage at chin offers next-to-skin comfort', 'Left chest pocket and 2 high handwarmer pockets have clean-finished zipper garages and are harness- and pack-compatible; 2 interior drop-in mesh pockets', 'Sleek, low-bulk, snag-resistant Variable Conditions cuffs with stretch knit provide versatile coverage and comfort', 'Partial binding on hem seals in warmth']"
Arc'teryx Atom LT Insulated Hoodie - Women's,Arc'teryx,$207.19,"Redesigned for better durability, resilience, comfort and fit, the women's Arc'teryx Atom LT Insulated hoodie with Coreloft™ Compact 60 insulation is as versatile as your adventures are varied.",4.7,https://www.rei.com/media/c2dd55df-90ab-4e72-a0d7-002928f467bd?size=576x768,"['Warm and lightweight, Coreloft Compact 60 insulation resists packing out, so loft and performance are retained over time', 'Updated Tyono™ 20 face fabric has enhanced abrasion resistance and elevated protection from wind and moisture; a durable water repellent (DWR) finish sloughs off light rain', 'Highly breathable Dope Permeair™ 20 liner helps regulate temps during higher output activity; Dope dye process uses considerably less resources than traditional dye processes', 'Improved side panels have increased durability, resisting wear and pilling while providing stretch, performance and breathability', 'Adjustable, insulated, low-profile StormHood™ with structured mini hood brim helps to minimize wind chill and provide protection in light rain', 'No Slip Zip™ main opening, zippered hand pockets and internal zippered chest pocket with custom thermoplastic polyurethane zipper pulls', 'Improved cuff design increases durability and eases layering and removal', 'Dual hem adjusters let you get a snug fit to keep warm air in']"
KUHL Radikl Pants - Men's,KUHL,$99.00,"Taking traditional hiking pants to a whole new level, KUHL Radikl men's pants pack all the functionality and performance you need for the trail into a comfortable, casual style you can wear anywhere.",4.4,https://www.rei.com/media/966a4f95-2d95-4dc1-b9ea-cce7c86c35b8?size=576x768,"['ENDURO™ fabric blend feels as comfortable as a sweatpants while staying highly abrasion resistant and durable enough for anything Mother Nature throws your way', 'Fabric offers UPF 50 sun protection', 'Stretch-knit back yoke panel promotes freedom of movement', 'Knit fabric panels at the knees and waist and a gusseted crotch offer flexibility and comfort', '7 pockets in all: 2 front hand pockets, a coin pocket, 2 rear pockets, 1 stealth cellphone pocket and 1 3D gusseted pocket', 'Free Ryde™ waist construction follows the natural rise of your hips', 'Waistband and French fly are lined with soft micro-chamois for extra comfort', 'Leg openings measure 16.25 in. in circumference', 'KUHL Klassik fit']"
KUHL Deceptr Pants - Men's,KUHL,$99.00,"After-work hike on your mind? The men's KUHL Deceptr pants combine modern, office-ready style with rugged, water-resistant fabric that's up for anything. They're basically chinos with an alter ego.",4.6,https://www.rei.com/media/15ce7547-9f6f-4b65-8f64-90c56869a020?size=576x768,"['Lightweight TUFFLITE™ fabric provides easy stretch and UPF 50+ sun protection; water-resistant finish fends off light precipitation', 'Articulated leg shaping ensures a just-right fit', 'Low-bulk saddle stitching boosts comfort', 'Gusseted crotch adds mobility', 'Plenty of pockets stash your essentials: 2 front, 2 back, 1 coin and 1 stealth cell phone pocket', 'KUHL Tapered fit']"
"Patagonia Quandary Shorts - Men's 10"" Inseam",Patagonia,$69.00,"Made for the kinetics of backpacking and travel, the men's Patagonia Quandary shorts help you push through serious bushwhacking and unexpected stream crossings with stretchy, durable UPF 50+ fabric.",4.8,https://www.rei.com/media/e2029745-95b1-4349-a827-914170fb4736?size=576x768,"['Stretch fabric features a durable water repellent (DWR) finish and UPF 50+ sun protection', 'Curved waistband follows the natural shape of the hips and provides a contoured fit to help keep shorts in place during movement', 'Gusseted crotch allows full range of motion', '2 handwarmer pockets; right coin pocket; 2 rear pockets; right thigh pocket with zipper closure', 'Metal button closure with zip fly']"
Mountain Hardwear Dynama/2 Ankle Pants - Women's,Mountain Hardwear,$79.00,"The perfect pick for your next hike, flight or spontaneous adventure, the women's Mountain Hardwear Dynama/2 ankle pants feature easy stretch and water resistance for wherever you roam.",4.6,https://www.rei.com/media/a056fa28-416d-4f3b-88ea-198e61c41958?size=576x768,"['Lightweight nylon/spandex fabric offers stretch for easy mobility; durable water repellent (DWR) finish on fabric resists moisture and stains', 'UPF 50+ fabric shields you from harmful UV rays', 'Flat and wide stretch waistband', '2 deep hand pockets and a low-profile zippered security pocket stash your essentials', 'Fits true to size; standard fit is not too tight and not too loose']"
REI Co-op Rainier Rain Jacket - Women's,REI Co-op,$99.95,"Waterproof, breathable and windproof, the women's REI Co-op Rainier rain jacket gives you permission to go outside and play, even on blustery days with a chance of showers.",4.4,https://www.rei.com/media/46017f6c-a438-4b74-976b-8012d45630ba?size=576x768,"['Developed by REI Co-op, Peak 2.5-layer recycled ripstop nylon shell shields you from light rain and wind up to 60 mph, while staying breathable and dry on the inside', 'Sealed seams provide waterproof protection; a durable water repellent (DWR) finish helps moisture bead up on the surface', 'Jacket is windproof to 60 mph', 'Pit zips let you dump excess heat as the day warms up or your exertion level rises', '3-piece hood has dual adjustments for a fine-tuned fit, and stows away when not needed', 'Drawcord hem and hook-and-loop cuffs adjust to seal out snow and wind', 'Weatherproof center front zipper', 'Zippered hand pockets', 'Jacket packs away in its own left pocket; just turn the pocket inside out and use your thumbs to stuff the jacket into the pocket, then zip it closed']"
prAna Halle Pants II - Women's,prAna,$95.00,"Heading through sun, rain, rocks or heat? Take on climbs and hikes in the women's prAna Halle Pants II. Now made with recycled ReZion™ fabric, they're tough, stretchy, sun-protective and fast-drying.",4.4,https://www.rei.com/media/52336abd-f963-4f57-99c1-e44d3c3f4fa1?size=576x768,"[""Now made with recycled nylon, ReZion fabric is tested to ensure it stacks up against the original; it's lighter to promote breathability and performance"", 'ReZion performance fabric resists abrasion and wrinkles while providing UPF 50+ sun protection; fabric has a subtle sheen, which helps to achieve maximum durability', 'PFAS-free durable water repellent (DWR) finish sheds moisture and stains', 'Fabric is bluesign® approved', 'Articulated knees enhance mobility', 'Roll-up legs with low-profile snaps let you customize your coverage', ""Front hip pockets; left-side coin pocket; back patch pockets with snap closures; on-seam pockets with an invisible zipper closure at wearer's right side"", 'Increased pocket depth for better functionality and ability to fit a phone with ease', 'Functional zip fly and button closure with interior twill tape drawstring; mid rise', 'Increased height of the rise and added room to the upper thigh offer added comfort and a more secure fit that performs better than ever', 'New low-profile plastic closure lays flat for added comfort and compatibility when wearing a climbing harness or backpack with hipbelt', 'Plus, the webbing on the button is now anchored with 4 bar tacks, distributing tension across the waistband for added strength and durability']"
prAna Stretch Zion Pants II - Men's,prAna,$95.00,"Combining an understated, go-anywhere look with trail-ready toughness and an updated, recycled construction, the men's prAna Stretch Zion Pants II are ready to venture into the wild.",3.4,https://www.rei.com/media/0068935a-83f2-466d-9aeb-07a4775ae5f3?size=576x768,"[""Now made with recycled nylon, ReZion™ fabric is tested to ensure it stacks up against the original; it's lighter to promote breathability and performance"", 'ReZion performance fabric resists abrasion and wrinkles while providing UPF 50+ sun protection; fabric has a subtle sheen, which helps to achieve maximum durability', 'PFAS-free durable water repellent (DWR) finish sheds moisture and stains', 'Fabric is bluesign® approved', 'Roll-up leg snaps, webbing adjustable pockets and a ventilated inseam gusset are ready for bouldering, scrambling and more', 'Mesh-lined pockets; angled zippered dual-entry cargo pocket on right thigh; concealed zipper coin pocket with an elastic key loop; back patch pockets with a flap on the right', 'Relaxed straight fit; this style fits the same as the original Stretch Zion Pant at the waist and hip, but with slightly less fabric bulk through the leg', 'New low-profile plastic closure lays flat for added comfort and compatibility when wearing a climbing harness or backpack with hipbelt', 'Plus, the webbing on the button is now anchored with 4 bar tacks, distributing tension across the waistband for added strength and durability']"
Arc'teryx Beta LT Jacket - Men's,Arc'teryx,$399.00,"Simplified in design without sacrificing weather protection and performance, the men's Arc'teryx Beta LT jacket keeps you light, dry and comfortable in a breathable 3-layer GORE-TEX® shell.",4.4,https://www.rei.com/media/1a8ff7bf-7b77-4bc8-a52d-bfd5da9106c4?size=576x768,"['Versatile and lightweight, this jacket delivers all-mountain performance for a wide range of activities in all types of weather', '3-layer GORE-TEX construction delivers complete waterproof, windproof and breathable protection', 'Helmet-compatible StormHood™ provides a fully adjustable fit and coverage without impeding sight lines', 'Underarm zippers allow you to dump heat quickly', 'Articulated sleeves provide a full range of motion', 'WaterTight™ front zipper keeps moisture from slipping through the cracks', 'WaterTight pocket zippers and RS™ (Rain Shield) zipper sliders provide secure, water-resistant storage for your personal items', 'Adjustable cuffs secure the fit and help block drafts of cold air', 'Droptail hem provides added coverage to minimize skin exposure in cold conditions', 'Dual hem adjusters snug the fit and block cold air']"
REI Co-op Savanna Trails Pants - Women's Petite Sizes,REI Co-op,$54.95,"From working your way up a mile of switchbacks to rehashing the joy of that type II fun in the pub later, the women's REI Co-op Savanna Trails pants are essential equipment.",4.4,https://www.rei.com/media/05033879-72ee-40a5-96ea-a2f3649c3e07?size=576x768,"['Sturdy nylon spandex fabric is breathable, moisture-wicking and treated with a durable water repellent (DWR) to shed light rain and stains', 'Stretch fabric and articulated knees let you move freely', 'Elastic back waistband and bungee drawcords at cuffs keep the fit comfortable no matter how you stretch and move', 'Double-layer knees stand up to days on the trail', 'Deep front cargo pockets with hidden, zippered stash pocket at right pocket; zippered stash pocket at right rear; secure snap pocket at left rear', 'Fabric offers UPF 50+ for excellent UV protection']"
Mountain Hardwear Exposure/2 GORE-TEX PACLITE Jacket - Women's,Mountain Hardwear,$99.83,"Wherever stormy conditions appear—in the mountains or in town—pull out the women's Mountain Hardwear Exposure/2 GORE-TEX PACLITE jacket. The stashable, lightweight design packs into its own pocket.",4.0,https://www.rei.com/media/372a31b3-db3c-4510-a7cb-db5f0d4ffc28?size=576x768,"['2-layer GORE-TEX PACLITE® waterproof/breathable fabric offers everyday protection in wet weather and is fully seam-sealed to lock out moisture', 'PFC-free durable water-repellent (DWR) finish helps moisture bead up on the surface', '100% recycled fabric is bluesign®-approved', 'Front-adjustable hood offers a secure fit', 'Hook-and-loop adjustable waist with durable elastic tabs offers a versatile, secure fit', 'Zippered hand pockets include a stow feature']"
REI Co-op Reversible 650 Down Jacket - Toddlers',REI Co-op,$29.93,"The light and warm toddlers' REI Co-op 650 Reversible down jacket keeps your tot cozy while avoiding snowsuit bulk, plus it reverses in case things get messy—and things always get messy.",4.6,https://www.rei.com/media/4dbdc270-9bbe-41bf-bf1b-c0c7714af573?size=576x768,"['Recycled polyester shell fabric has a durable water repellent (DWR) that sheds light rain and snow', 'Lightweight 650-fill-power down traps heat to deliver lasting warmth; down is certified to the Responsible Down Standard (RDS)', 'Jacket has hand pockets on one side and is pocketless on reverse side', 'Elastic at bottom hem and cuffs seal in warmth', 'Full-length front zipper', 'Made to reflect our love for people and the planet through the use of recycled polyester and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign-approved materials conserve resources and protect the health of the environment, workers and wearer (your kid!)']"
Darn Tough Hiker Micro Crew Cushion Socks - Women's,Darn Tough,$25.00,"Darn Tough Hiker Micro Crew Cushion women's socks provide miles of comfort and durability—tested on the Vermont Long Trail, these socks provide a high level of cushioned performance.",4.9,https://www.rei.com/media/4bdb0b04-e24b-44aa-865f-89827ad293d4?size=784x588,"['Darn Tough uses a custom-count, shrink-treated merino wool that enhances comfort and durability for outdoor activities', 'Merino wool wicks away moisture and breathes to regulate temperature for outstanding comfort in a variety of conditions', 'High-density cushioning underfoot', 'Reinforced heels and toes and elastic support around the arch', 'Ring-toe construction hides seams and enhances comfort', 'Non-cushioned, wide-ribbed, crew-height legs', 'Darn Tough recommends that you machine wash socks inside out in warm water on gentle cycle and tumble dry on low']"
Outdoor Research Foray II GORE-TEX Jacket - Men's,Outdoor Research,$156.93,"Made with GORE-TEX PACLITE® technology, this men's Outdoor Research Foray II GORE-TEX jacket is a light, breathable and weather-ready layer for rainy treks and wanderings.",4.5,https://www.rei.com/media/95ccda3e-2374-4286-8a3c-3fc635398d79?size=576x768,"['GORE-TEX PACLITE fabric is lightweight and packable, yet durably waterproof, windproof and breathable', 'Fully taped seams seal out wet weather', 'TorsoFlo™ venting allows cooling airflow from hem to bicep with a 2-way zipper', 'Fully adjustable hood adds coverage', 'Internal front stormflap and YKK AquaGuard® zippers help keep out rain', 'Zippered chest and hand pockets and a key clip organize your must-haves', 'Hook-and-loop cuff closures and an elastic drawcord hem ensure a just-right fit', 'Single-separating center-front zipper']"
REI Co-op Flash Insulated Jacket - Men's,REI Co-op,$49.83,"Amazingly warm for its weight, the men's REI Co-op Flash insulated jacket uses ShadowBaffle™ construction that's warmer than standard quilting. Plus it's made with 70% recycled insulation.",4.3,https://www.rei.com/media/d80af990-3c68-4607-9759-7e1fbd9e8fa6?size=576x768,"['Lightweight, windproof, bluesign®-approved, recycled ripstop nylon shell and lining fabric has a DWR (durable water repellent) finish to protect against light rain and stains', '60 g Primaloft Silver Eco synthetic insulation is 70% postconsumer recycled content, bluesign® approved and highly breathable, compressible and warm even when wet', 'REI-exclusive ShadowBaffle construction is lab-measured to be at least 14% warmer than stitching through all layers like a standard quilt-through and is also more durable', 'Highly compressible jacket packs down small into its left hand pocket', ""Pack-friendly zippered hand pockets fit with a pack's hipbelt"", 'Additional zippered chest pocket and internal drop-in pocket give you storage options for trail essentials', 'Zipper placket and cuffs are constructed to be easily repairable to ensure a long life for this jacket', 'Drawcord at hem and stretch binding at hood and cuff help conform to your body and keep out cold drafts', 'Field tested while hiking, backpacking, skiing, running, cycling and sailing in 20–60-degree temps in Washington, Canada, Australia, New Zealand and Argentina', 'Made in a Fair Trade Certified™ factory, which promotes safe working conditions and sustainable livelihoods']"
REI Co-op Groundbreaker Rain Jacket 2.0 - Men's,REI Co-op,$69.95,"A trimmer fit and faster, more secure hood adjustment make the men's REI Co-op Groundbreaker 2.0 jacket an even better way to hit the trail in fully weatherproof style.",4.6,https://www.rei.com/media/65996431-c05c-4924-b4ca-e64be07a0690?size=576x768,"['Soft, 2-layer waterproof, breathable polyester shell is critically seam sealed to keep you dry and comfortable', 'Durable water repellent (DWR) finish deflects light rain and snow', 'Breathable polyester mesh lining', 'Drawcord hood now has a shockcord adjustment to make fine-tuning fit and coverage quick and easy', 'Shoulder seams are placed forward to help prevent abrasion under backpack straps', 'Drawcord hem lets you seal out wind and water', 'Partially elasticized cuffs hold sleeves in place.', 'Zippered handwarmer pockets keep valuables secure', 'Made using bluesign®-approved materials, which  conserve resources and protect the health of the environment, workers and wearer (you!)']"
Patagonia R2 TechFace Jacket - Women's,Patagonia,$179.00,"Providing warmth and breathability as well as weather resistance for extended versatility in shifting mountain conditions, the women's Patagonia R2 TechFace jacket is an ideal mid layer.",4.3,https://www.rei.com/media/57736fe2-6f60-487b-a0f1-596cf6406a0e?size=576x768,"['High-loft, double-weave fabric is soft and warm next to skin but also highly breathable', 'Abrasion-resistant face fabric has a durable water repellent (DWR) that provides the first layer of defense against moisture', 'Soft, kissing-welt zipper garage at chin offers next-to-skin comfort', 'Left chest pocket and 2 high handwarmer pockets have clean-finished zipper garages and are harness- and pack-compatible', '2 interior drop-in mesh pockets', 'Sleek, low-bulk, snag-resistant Variable Conditions cuffs with stretch knit provide versatile coverage and comfort', 'Partial binding on hem seals in warmth']"
REI Co-op Norseland Insulated Parka - Women's,REI Co-op,$199.00,"With lightweight down insulation, extra length and a fleece-lined insulated hood, the women's REI Co-op Norseland insulated parka is ready for a full polar vortex onslaught.",4.6,https://www.rei.com/media/761702c8-93ed-4c13-adff-291d00e88990?size=576x768,"['Nylon shell is treated with a durable water repellent (DWR) coating to shed light rain and snow', 'Lightweight down insulation adds warmth without restricting movement', 'Lining is made of recycled polyester', '2-way front zipper and 6 in. side vents at the hem zip open fast for easy striding or sitting', 'Snap stormflap at front zipper blocks wind', 'Insulated hood is lined with soft, warm polyester fleece', 'Knit cuff gaskets keep sleeves in place and seal out wind and snow', 'Handwarmer pockets zip shut', 'Made to reflect our love for people and the planet through the use of recycled materials, bluesign®-approved materials and down certified to the Responsible Down Standard', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)', 'The Responsible Down Standard (RDS) requires that ducks and geese are treated in accordance with leading animal welfare standards']"
REI Co-op 650 Down Jacket - Kids',REI Co-op,$47.93,"With a just-right warmth-to-weight ratio and and a fit that's easy to run and jump in, the kids' REI Co-op 650 down jacket is the coat that makes it okay to play outside on the coldest of days.",4.1,https://www.rei.com/media/bbc9e4c2-3518-433b-af96-ae8549fd9058?size=576x768,"['Recycled polyester shell fabric treated with a durable water repellent (DWR) sheds light rain and snow, and provides wind resistance', '650-fill-power down is extremely warm for its weight', 'Highly compressible; packs into left-hand pocket', 'Zip hand pockets plus a drop-in internal pocket', 'Elasticized cuffs keep out cold and snow', 'Full-length front zipper', ""Product meets the bluesign® criteria, the world's leading system for managing the environmental and human health impacts of textile manufacturing"", 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (your kid!)', 'Made to reflect our love for people and the planet through the use of recycled materials and down certified to the Responsible Down Standard', 'Responsible Down standard requires that ducks and geese are treated in accordance with leading animal welfare standards', 'Recycled materials keep waste out of landfills', 'Made in a Fair Trade Certified™ factory, which promotes safe working conditions and sustainable livelihoods']"
KUHL Trekr Kapri - Women's,KUHL,$89.00,"Outfit yourself for adventure and minimize harmful sun exposure with the flexible, 6-pocket capris. The KUHL Trekr Kapri pants will move with you as you hike, travel or run around town.",4.7,https://www.rei.com/media/2747c22e-2649-44be-9659-22e7d7913e0c?size=576x768,"['Brushed fabric has a soft feel, while the built-in stretch allows freedom of movement', 'Contoured waistband has an internal drawcord for a great fit, even as you move and bend', 'Legs cinch to 16 in. via side seams', 'Fabric offers UPF 50 protection', '2 snap back pockets; 2 zip thigh pockets']"
Vuori Ripstop Pants - Women's,Vuori,$98.00,"Stay adventure-ready wherever you roam in the women's Vuori Ripstop pants. Crafted with a wide range of motion, DuraTerra™ ripstop fabric and a 5-pocket design, they're ideal for daily wear.",3.9,https://www.rei.com/media/75a1cbd2-824d-433f-8db2-cd3208fee0c9?size=576x768,"['DuraTerra ripstop cotton fabric features 2-way stretch', '2-way stretch ripstop fabric holds strong against brushes with gnarly granite; fabric is breathable for added comfort', 'Crotch gusset enhances mobility', 'Signature drawcord secures your fit', 'Zippered back and leg pockets stash your essentials', 'Woven logo patch adds visual interest', 'Fabric weight: 190 g/m2']"
"KUHL Renegade Shorts - Men's 10"" Inseam",KUHL,$79.00,"KUHL Renegade 10 in. shorts are use a durable soft-shell fabric with a soft feel. Their durable water repellent (DWR) finish sheds light rain and stains, and they have eight pockets for ample storage.",4.7,https://www.rei.com/media/4f0fba03-5fa3-4f9b-ac04-38c9611aef1a?size=576x768,"['Strong and breathable, and boasting abrasion resistance and a quick dry time, KUHL Duralux fabric with DWR outperforms standard nylon and provides UPF 50 sun protection', 'Gusseted crotch offers freedom of movement', 'Waistband is slightly peached for increased wicking performance, fast drying time and unmatched comfort', ""Sit easy and worry-free with your wallet and cellphone secured in 3D and drop-in stealth pockets so comfortable you'll forget they're there"", '8 pockets: 2 front hand, 2 back, 2 zippered side, 1 stealth cellphone, 1 3D cellphone']"
REI Co-op Rainwall Rain Jacket - Kids',REI Co-op,$69.95,"Playing in the rain is extreme fun—as long as they're dressed for it. The kids' REI Co-op Rainwall jacket is fully waterproof, windproof and breathable for hours of fun in liquid sunshine.",4.8,https://www.rei.com/media/6db2af92-fa4e-4f75-95d1-95998f6555bc?size=576x768,"['2.5-layer recycled ripstop nylon shell with waterproof/breathable laminate is windproof to 60+ mph; seams are sealed to complete the protection', 'Polyester tricot lining is smooth, soft and breathable', '3-panel hood has a rain brim, hook-and-loop adjustment tab in back, and elastic on the sides of the opening for a comfortable fit', 'Adjustable cuffs and front stormflap seal out the elements; droptail hem extends back coverage', 'Zippered hand pockets secure essentials', 'Tricot-lined collar is warm and soft', 'Reflective trim on back helps keep them visible in low light', 'Write-on ID label inside', ""Product meets the bluesign® criteria, the world's leading system for managing the environmental and human-health impacts of textile manufacturing"", 'bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (your kid!)', 'Made to reflect our love for people and the planet through the use of recycled materials, which keep waste out of landfills']"
Arc'teryx Atom LT Insulated Vest - Men's,Arc'teryx,$139.99,"Ideal for layering in cold weather, the men's Arc'teryx Atom LT vest is a sleeveless core heater that hugs the body with efficient insulation to preserve warmth without impeding breathability.",4.8,https://www.rei.com/media/cbc03b08-fb0f-47f3-a7c0-ccb363f50e07?size=576x768,"['Lightweight Coreloft™ Compact 60 insulation preserves core warmth while a wind- and moisture-resistant outer shell extends standalone usability', 'Durable water repellent (DWR) finish repels moisture', 'Smooth-faced, air-permeable, fleece stretch side panels increase comfort, mobility and ventilation', 'No Slip Zip™ full front zipper with windflap', 'Soft, smooth lined collar', 'Internal chest pocket; 2 hand pockets', 'Drop back hem', 'Vest is compressible and packable', 'Trim fit for base layer or light mid-layer use', 'Atom Series: Synthetic insulated mid layers; LT: Lightweight']"
REI Co-op Sahara Cargo Shorts - Men's,REI Co-op,$59.95,"It's not just about the pockets, although you do get 6. The men's REI Co-op Sahara cargo shorts are stretchy, wicking and fast-drying so they stay comfy for miles—on the trail or around the world.",4.5,https://www.rei.com/media/26e38cf8-a2cf-4745-9aad-a12448833c9a?size=576x768,"['Lightweight recycled nylon/spandex fabric packs small, dries fast and has a durable water repellent (DWR) finish to repel light moisture and dirt', 'Loaded with pockets to keep you supplied on the trail', 'Elastic across the back waistband improves comfort and fit', 'Gusseted crotch increases freedom of movement', 'UPF 50+ rating provides excellent protection against harmful ultraviolet rays', 'Made to reflect our love for people and the planet through the use of recycled nylon and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
REI Co-op Activator 3.0 Pants - Women's,REI Co-op,$99.95,What's your perfect pair of trail pants? Wind- and water repellent? Breathable and stretchy? Plenty of secure pockets? That's the women's REI Co-op Activator 3.0 pants!,4.7,https://www.rei.com/media/d0c9ba3d-171c-4795-930d-61bcf69fc7f0?size=576x768,"['Water-resistant soft-shell fabric with durable water repellent (DWR) treatment repels light rain and is wind resistant to 35 mph', 'Updated waistband with partial elastic for comfort and low-profile belt loops to help you dial in the fit', 'Articulated knees and a center gusset let you move freely', 'Zip hand pockets, zip thigh pocket and back pockets with hook-and-loop closure hold your trail essentials secure', ""Drawcord adjustment at cuffs lets you cinch pants down over boots to keep out debris, or roll 'em up to ford a stream"", 'Zip fly with snap closure', 'Made using bluesign®-approved materials, which conserve resources and protect the health of the environment, workers and wearer (you!)']"
REI Co-op Sahara Bermuda Shorts - Women's,REI Co-op,$41.93,"Bring on the sweaty switchbacks! Hill towns with steep, cobbled streets? Yes, please! Through it all, the women's REI Co-op Sahara Bermuda shorts remain light, stretchy, cool and comfortable.",4.3,https://www.rei.com/media/67e18f5d-c733-4afa-8cf8-2b7747accb07?size=576x768,"['Lightweight recycled nylon/spandex fabric stretches, dries fast and has a durable water repellent (DWR) finish to repel light moisture and dirt', 'Waistband has elastic at back plus a drawstring so you can dial in the fit', '4 pockets for essentials, including a secure zip pocket on the back', 'Zip fly with button closure', 'UPF 50+ rating provides excellent protection against harmful ultraviolet rays', 'Made to reflect our love for people and the planet through the use of recycled nylon and bluesign®-approved materials', 'Recycled materials keep waste out of landfills and bluesign®-approved materials conserve resources and protect the health of the environment, workers and wearer (you!)']"
"prAna Stretch Zion Shorts II - Men's 10"" Inseam",prAna,$75.00,"Hate to choose between function and fashion? With the 10 in. prAna Stretch Zion Shorts II, you don't have to. Durably made with ReZion™ fabric, these shorts are ready to roam.",3.9,https://www.rei.com/media/eb117d8a-53b9-4d2d-86f4-5712a26d937e?size=576x768,"[""Now made with recycled nylon, ReZion fabric is tested to ensure it stacks up against the original; it's lighter to promote breathability and performance"", 'ReZion performance fabric is moisture wicking and rated UPF 50+ for sun protection; fabric has a subtle sheen, which helps to achieve maximum durability', 'A touch of elastane provides 4-way stretch', 'Durably built with a reinforced mobility gusset—and mitered pocket corners help keep dirt from getting stuck in there', 'Mesh-lined pockets and a ventilated inseam gusset add breathability', 'Front thigh seam detail', 'Webbing-adjustable waistband', 'Back patch pockets with flap on right side; zipper cargo pocket with double entry on left thigh; concealed zipper coin pocket with elastic key loop', 'prAna woven label at back right pocket', 'This style has the same fit as the original Stretch Zion Shorts', 'New low-profile plastic closure lays flat for added comfort and compatibility when wearing a climbing harness or backpack with hipbelt', 'Plus, the webbing on the button is now anchored with 4 bar tacks, distributing tension across the waistband for added strength and durability', 'Contains bluesign® approved materials']"
